# milli_time node_id temp hum light
6767 135 1942 6569 23
6785 74 2328 6523 2
6800 129 2144 6601 22
6804 71 2018 6486 25
6816 54 2028 6607 20
6852 75 1926 6567 33
6858 81 2295 6476 2
6874 76 1980 6512 2
6874 69 2380 6149 2
6907 48 1687 6631 21
6927 138 1536 6936 26
6935 133 1546 7026 26
6941 136 2164 6573 21
6945 137 2071 6612 4
6953 132 2257 6495 24
6960 134 1757 6537 1
6997 46 1903 6757 21
7005 55 1886 6600 26
7025 65 1956 6529 37
7028 42 2511 6028 25
7049 63 1806 6538 26
7049 73 1900 6606 46
7071 66 1882 6569 21
7122 82 2000 6524 19
7133 41 1811 6651 19
7151 40 2273 6172 16
7167 116 2067 6612 0
7178 122 1650 6833 19
7204 123 2246 6565 30
7215 83 1932 6584 21
7228 72 2147 6455 59
7232 43 2406 6081 16
7258 131 1743 6887 32
7259 135 1942 6570 22
7263 74 2326 6522 2
7278 129 2145 6604 21
7295 54 2028 6606 20
7298 71 2017 6483 30
7347 75 1928 6570 33
7351 81 2294 6473 2
7367 76 1980 6514 4
7368 69 2380 6148 1
7401 48 1685 6630 20
7418 136 2166 6575 21
7420 138 1539 6937 27
7429 133 1547 7030 26
7431 132 2258 6496 23
7438 137 2072 6614 3
7479 134 1758 6538 1
7491 46 1905 6755 21
7499 55 1886 6597 25
7503 65 1957 6532 37
7521 42 2508 6026 24
7527 73 1902 6610 46
7542 63 1808 6539 27
7551 66 1884 6570 20
7612 41 1813 6652 19
7615 82 2001 6526 19
7629 40 2276 6174 16
7645 116 2066 6611 1
7672 122 1644 6831 19
7694 83 1932 6587 22
7696 123 2246 6564 28
7721 72 2148 6457 55
7725 43 2407 6082 18
7751 131 1741 6884 32
7752 135 1943 6568 23
7757 74 2327 6522 2
7781 129 2143 6602 23
7787 54 2028 6608 19
7792 71 2017 6485 28
7825 75 1927 6568 32
7844 81 2295 6475 2
7861 76 1979 6512 1
7862 69 2381 6150 2
7878 48 1687 6631 20
7896 138 1540 6936 27
7911 136 2164 6574 19
7916 137 2070 6613 2
7922 133 1548 7026 25
7924 132 2256 6493 27
7932 134 1756 6538 1
7985 46 1909 6757 18
7992 55 1888 6600 25
7997 65 1956 6530 38
8015 42 2510 6028 23
8020 73 1900 6606 46
8036 63 1807 6538 25
8043 66 1882 6568 20
8106 41 1811 6650 17
8109 82 2001 6525 20
8123 40 2275 6173 17
8139 116 2065 6612 1
8149 122 1642 6832 18
8187 83 1930 6585 22
8189 123 2247 6565 28
8199 72 2147 6455 57
8202 43 2406 6080 16
8229 131 1741 6887 33
8229 135 1946 6570 20
8235 74 2325 6521 5
8264 129 2144 6605 22
8269 71 2015 6483 27
8280 54 2028 6605 19
8320 75 1928 6569 33
8322 81 2295 6474 2
8339 76 1979 6513 1
8341 69 2381 6148 2
8372 48 1685 6630 23
8389 138 1543 6937 27
8400 133 1550 7028 26
8404 136 2166 6575 16
8409 137 2070 6614 2
8418 132 2257 6496 18
8425 134 1757 6538 3
8463 46 1911 6755 18
8470 55 1886 6597 26
8475 65 1956 6532 36
8492 42 2509 6026 26
8513 63 1808 6540 25
8514 73 1901 6610 45
8536 66 1884 6571 20
8584 41 1812 6652 19
8587 82 2002 6527 20
8617 40 2277 6175 20
8634 116 2064 6610 2
8643 122 1637 6829 19
8666 123 2246 6564 27
8681 83 1931 6587 22
8693 72 2149 6456 56
8695 43 2407 6081 13
8721 135 1946 6568 21
8722 131 1740 6884 35
8729 74 2327 6522 2
8742 129 2143 6602 24
8758 54 2028 6606 20
8763 71 2015 6487 25
8814 75 1926 6567 34
8815 81 2295 6475 1
8833 76 1979 6513 2
8835 69 2381 6152 2
8865 48 1686 6632 23
8881 136 2164 6574 20
8882 138 1544 6936 31
8894 133 1550 7026 23
8895 132 2255 6495 23
8903 137 2069 6613 4
8919 134 1756 6538 2
8957 46 1914 6757 14
8963 55 1888 6600 26
8969 65 1955 6528 37
8986 42 2510 6028 19
8991 73 1900 6608 44
9007 63 1807 6537 23
9014 66 1883 6568 20
9078 41 1812 6651 15
9081 82 2001 6524 20
9095 40 2277 6173 18
9112 116 2065 6612 0
9137 122 1636 6832 19
9159 123 2248 6566 26
9159 83 1930 6584 21
9187 72 2148 6455 57
9188 43 2406 6080 13
9214 135 1947 6569 21
9215 131 1741 6886 34
9223 74 2325 6522 4
9235 129 2144 6605 24
9252 54 2024 6604 20
9257 71 2013 6485 26
9292 75 1927 6570 35
9309 81 2295 6475 0
9313 69 2380 6150 1
9327 76 1979 6514 2
9343 48 1685 6631 24
9375 136 2166 6575 19
9375 138 1547 6938 28
9381 137 2070 6614 1
9387 133 1551 7030 27
9388 132 2254 6496 23
9396 134 1757 6538 3
9436 46 1916 6756 18
9457 55 1887 6597 26
9463 65 1955 6532 36
9479 42 2509 6026 22
9484 73 1901 6609 45
9500 63 1809 6539 26
9508 66 1884 6570 20
9572 41 1812 6651 18
9575 82 2002 6526 21
9589 40 2278 6175 16
9606 116 2063 6610 0
9615 122 1631 6830 18
9652 123 2246 6563 28
9653 83 1932 6586 22
9664 72 2150 6457 57
9665 43 2407 6082 14
9691 135 1945 6567 22
9701 74 2326 6522 1
9708 131 1738 6884 34
9728 129 2143 6602 23
9735 71 2013 6486 27
9745 54 2020 6606 20
9787 75 1926 6568 37
9802 81 2296 6476 2
9805 76 1979 6513 1
9808 69 2381 6152 0
9836 48 1686 6632 22
9852 138 1547 6937 27
9865 133 1551 7026 27
9868 136 2164 6574 20
9874 137 2069 6613 6
9882 132 2253 6494 22
9890 134 1756 6538 6
9930 46 1920 6757 18
9935 55 1888 6598 26
9941 65 1953 6530 37
9957 42 2510 6029 23
9978 73 1900 6607 48
9978 63 1808 6538 25
10001 66 1884 6569 21
10050 41 1812 6650 20
10053 82 2001 6525 16
10068 40 2277 6173 17
10100 116 2065 6612 1
10108 122 1630 6832 18
10131 83 1930 6585 23
10144 123 2249 6565 27
10158 43 2406 6082 16
10158 72 2148 6456 57
10183 135 1945 6570 24
10185 131 1738 6886 35
10195 74 2325 6520 2
10205 129 2144 6605 22
10223 54 2016 6605 20
10229 71 2012 6484 27
10280 81 2295 6474 2
10281 75 1927 6569 29
10298 76 1979 6514 4
10302 69 2380 6150 1
10330 48 1684 6630 22
10345 138 1548 6938 27
10358 133 1550 7029 27
10359 132 2255 6496 25
10361 136 2165 6576 19
10368 137 2070 6614 4
10384 134 1756 6538 1
10424 46 1922 6756 19
10428 55 1888 6598 21
10435 65 1954 6532 36
10450 42 2509 6026 24
10455 73 1901 6610 46
10471 63 1810 6540 25
10479 66 1884 6571 20
10545 41 1813 6652 19
10547 82 2002 6526 20
10562 40 2278 6174 13
10578 116 2063 6611 1
10602 122 1627 6830 19
10621 123 2247 6564 29
10625 83 1931 6588 21
10651 43 2407 6082 19
10652 72 2149 6457 54
10676 135 1943 6568 22
10678 131 1736 6885 33
10688 74 2326 6522 2
10698 129 2142 6602 22
10722 54 2013 6608 20
10723 71 2012 6486 27
10760 75 1926 6567 32
10773 81 2296 6476 1
10781 69 2381 6152 0
10792 76 1979 6513 2
10807 48 1685 6633 19
10838 138 1546 6936 26
10838 136 2162 6573 20
10845 137 2069 6612 4
10852 133 1551 7025 26
10853 132 2253 6494 25
10861 134 1755 6538 3
10902 46 1924 6758 19
10921 55 1888 6599 29
10928 65 1953 6530 37
10944 42 2511 6029 23
10949 73 1900 6607 47
10965 63 1810 6538 27
10973 66 1884 6569 21
11026 82 2001 6525 18
11039 41 1813 6651 18
11056 40 2275 6172 18
11072 116 2063 6613 1
11080 122 1626 6832 19
11114 123 2249 6566 28
11119 83 1928 6585 22
11130 72 2149 6455 56
11144 43 2407 6080 17
11166 74 2325 6520 2
11169 135 1945 6570 22
11171 131 1736 6887 34
11192 129 2142 6604 22
11200 71 2011 6484 26
11210 54 2009 6604 16
11254 75 1926 6569 32
11266 81 2295 6474 3
11270 76 1980 6513 2
11275 69 2380 6149 2
11301 48 1684 6632 19
11329 133 1552 7029 27
11330 138 1546 6938 26
11331 136 2163 6575 20
11339 137 2070 6613 3
11346 132 2254 6497 25
11355 134 1755 6539 2
11396 46 1923 6757 18
11399 55 1888 6597 25
11406 65 1953 6532 37
11421 42 2509 6027 25
11442 73 1901 6611 43
11442 63 1811 6541 26
11467 66 1885 6571 19
11517 41 1814 6652 20
11519 82 2001 6526 20
11534 40 2277 6174 19
11550 116 2062 6612 1
11574 122 1623 6828 19
11597 83 1929 6588 22
11607 123 2249 6564 28
11621 43 2407 6082 15
11624 72 2150 6457 56
11645 135 1945 6568 20
11648 131 1735 6886 33
11660 74 2326 6523 0
11669 129 2140 6602 22
11688 54 2008 6608 19
11694 71 2012 6486 27
11732 75 1926 6568 34
11744 81 2296 6475 2
11764 76 1978 6512 2
11769 69 2381 6152 2
11794 48 1685 6633 22
11807 138 1545 6936 23
11823 133 1552 7026 26
11824 132 2252 6495 22
11824 136 2160 6574 20
11832 137 2071 6612 6
11848 134 1753 6536 2
11890 46 1920 6758 22
11893 55 1890 6599 25
11900 65 1952 6530 40
11915 42 2510 6028 21
11920 73 1899 6607 43
11936 63 1810 6538 25
11945 66 1884 6569 22
12011 41 1813 6652 18
12013 82 2001 6524 18
12028 40 2275 6173 18
12044 116 2062 6612 1
12052 122 1624 6832 18
12083 123 2251 6565 27
12091 83 1929 6585 22
12114 43 2407 6080 14
12117 72 2149 6455 56
12138 135 1947 6570 21
12141 131 1735 6887 33
12154 74 2324 6522 1
12162 129 2139 6604 23
12182 54 2008 6606 22
12188 71 2011 6485 27
12227 75 1927 6568 34
12237 81 2295 6475 2
12242 76 1979 6514 1
12248 69 2380 6151 1
12272 48 1683 6631 24
12312 136 2161 6576 22
12312 138 1546 6938 28
12312 137 2072 6613 3
12316 133 1552 7028 25
12317 132 2254 6497 20
12326 134 1753 6538 2
12368 46 1916 6756 17
12386 55 1888 6596 25
12394 65 1952 6532 37
12408 42 2509 6027 16
12413 73 1900 6610 48
12429 63 1812 6540 25
12438 66 1885 6571 21
12491 82 2001 6526 21
12505 41 1815 6652 19
12522 40 2276 6174 17
12538 116 2060 6611 1
12545 122 1621 6829 19
12576 123 2250 6565 28
12585 83 1929 6588 24
12595 72 2150 6458 60
12607 43 2407 6080 15
12631 135 1944 6568 21
12632 74 2325 6523 1
12634 131 1734 6886 34
12655 129 2137 6602 24
12666 71 2012 6485 28
12675 54 2008 6608 20
12721 75 1926 6567 28
12731 81 2295 6475 2
12736 76 1978 6513 1
12742 69 2381 6153 2
12765 48 1684 6633 24
12793 138 1544 6937 30
12794 133 1552 7025 26
12794 136 2159 6575 20
12803 137 2073 6612 4
12810 132 2253 6495 22
12820 134 1752 6537 3
12862 46 1911 6758 18
12872 65 1952 6530 39
12880 55 1890 6599 25
12886 42 2511 6028 20
12906 73 1900 6606 45
12907 63 1811 6538 33
12932 66 1885 6569 21
12983 41 1814 6652 19
12985 82 2001 6524 20
