# Time Mote_ID Temperature Motion CO2
101 5 361 2568 894
102 0 370 2495 911
102 1 280 2565 907
102 2 262 2621 895
102 3 377 2282 994
102 4 369 2657 921
102 5 361 2536 890
103 0 370 2538 909
103 1 279 2564 907
103 2 262 2621 894
103 3 377 2314 994
103 4 369 2658 921
103 5 361 2604 890
104 0 369 2459 910
104 1 280 2564 909
104 2 261 2620 895
104 3 377 2271 994
104 4 369 2658 923
104 5 361 2581 967
105 0 369 2538 909
105 1 280 2563 909
105 2 261 2622 895
105 3 377 2313 993
105 4 369 2658 921
105 5 361 2563 890
106 0 369 2514 910
106 1 280 2563 907
106 2 262 2621 895
106 3 377 2290 994
106 4 369 2658 921
106 5 361 2579 966
107 0 369 2503 910
107 1 280 2566 907
107 2 262 2620 895
107 3 377 2269 994
107 4 369 2658 920
107 5 361 2611 890
108 0 369 2498 909
108 1 280 2564 907
108 2 262 2622 895
108 3 377 2310 994
108 4 369 2658 923
108 5 361 2597 894
109 0 370 2489 910
109 1 280 2565 907
109 2 262 2621 894
109 3 377 2330 993
109 4 369 2656 921
109 5 361 2605 966
110 0 369 2536 910
110 1 280 2564 907
110 2 262 2620 895
110 3 377 2326 993
110 4 369 2657 921
110 5 361 2549 894
111 0 369 2543 909
111 1 280 2565 909
111 2 262 2621 895
111 3 377 2286 993
111 4 369 2658 921
111 5 361 2581 891
112 0 369 2558 909
112 1 280 2564 909
112 2 262 2621 895
112 3 377 2321 993
112 4 369 2658 921
112 5 361 2598 894
113 0 369 2442 906
113 1 280 2565 909
113 2 262 2620 898
113 3 377 2318 993
113 4 369 2657 921
113 5 361 2577 890
114 0 369 2515 907
114 1 280 2565 907
114 2 262 2621 895
114 3 377 2281 994
114 4 369 2658 921
114 5 361 2499 890
115 0 369 2522 910
115 1 280 2564 907
115 2 262 2622 895
115 3 377 2281 993
115 4 368 2658 921
115 5 361 2597 965
116 0 369 2442 910
116 1 280 2565 907
116 2 262 2621 895
116 3 377 2327 993
116 4 368 2658 921
116 5 361 2595 890
117 0 369 2618 910
117 1 280 2563 907
117 2 262 2621 895
117 3 377 2388 993
117 4 368 2658 921
117 5 361 2615 890
118 0 369 2455 910
118 1 280 2563 909
118 2 262 2621 895
118 3 377 2305 993
118 4 369 2658 921
118 5 361 2628 894
119 0 369 2553 910
119 1 280 2564 907
119 2 262 2620 894
119 4 368 2658 921
119 5 361 2536 894
120 0 369 2551 911
120 1 280 2564 909
120 2 262 2621 894
120 3 377 2299 993
120 4 369 2657 920
120 5 361 2593 966
121 0 369 2506 910
121 1 280 2565 907
121 2 262 2610 895
121 3 377 2345 993
121 4 369 2658 920
121 5 361 2483 890
122 0 369 2564 910
122 1 280 2564 907
122 2 262 2621 895
122 3 377 2294 993
122 4 368 2658 921
122 5 361 2592 894
